"","PLAYER_NAME","TEAM_ABBREVIATION","Restricted_Area_FGM","Restricted_Area_FGA","Restricted_Area_FG_PCT","In_The_Paint_Non_RA_FGM","In_The_Paint_Non_RA_FGA","In_The_Paint_Non_RA_FG_PCT","Mid_Range_FGM","Mid_Range_FGA","Mid_Range_FG_PCT","Left_Corner_3_FGM","Left_Corner_3_FGA","Left_Corner_3_FG_PCT","Right_Corner_3_FGM","Right_Corner_3_FGA","Right_Corner_3_FG_PCT","Above_the_Break_3_FGM","Above_the_Break_3_FGA","Above_the_Break_3_FG_PCT","Backcourt_3_FGM","Backcourt_3_FGA","Backcourt_3_FG_PCT"
"98","Jared Harper","WES","2.6","4.5","0.574","1.3","2.7","0.469","0.9","2","0.458","0.1","0.2","0.5","0.2","0.2","1","2.2","5.7","0.382","0","0","0"
"99","Jarrett Jack","GLI","0.5","0.9","0.538","0.7","1.9","0.379","1.3","2.7","0.488","0.1","0.4","0.167","0.3","0.6","0.556","0.6","1.7","0.36","0","0.1","0"
"100","Jarrod Uthoff","ERI","2.7","3.6","0.745","0.4","1.1","0.4","0.4","1.1","0.4","0.6","0.9","0.692","0.3","1.1","0.267","1.1","3.4","0.34","0","0.1","0"
"101","Jarron Cumberland","RAP","0.1","0.3","0.5","0.4","0.5","0.75","0","0.1","0","0.2","0.4","0.5","0","0","0","0.1","0.8","0.167","0","0","0"
"102","Javin DeLaurier","GBO","0.4","0.7","0.6","0.1","0.6","0.25","0","0.1","0","0","0","0","0","0.1","0","0.3","0.3","1","0","0","0"
"103","Jaylen Hoard","OKL","2.1","3.7","0.571","0.9","1.5","0.591","0.1","0.2","0.667","0.1","0.3","0.2","0.1","0.4","0.2","0.2","1.1","0.188","0","0","0"
"104","Jaylen Morris","AUS","3.2","3.8","0.826","0.2","0.7","0.25","0.2","0.3","0.5","0.6","0.8","0.75","0.2","0.8","0.25","1.3","1.7","0.8","0","0","0"
"105","Jeff Dowtin","LAK","0.7","1.1","0.647","1.1","2.2","0.485","0.5","1.4","0.333","0.1","0.3","0.5","0.1","0.2","0.5","0.3","0.5","0.571","0","0.1","0"
"106","Jeff Roberson","GBO","1.6","2.5","0.667","0.4","1.3","0.286","0.4","0.5","0.8","0.3","0.5","0.6","0.1","0.3","0.333","0.5","1.1","0.417","0","0","0"
"107","Jemerrio Jones","DEL","2.3","3.9","0.596","0.4","0.9","0.455","0.1","0.3","0.333","0","0.1","0","0","0.1","0","0.1","0.9","0.091","0","0.1","0"
"108","Jeremiah Martin","LIN","5.2","8.3","0.624","0.8","2.7","0.3","0.6","1.3","0.474","0.1","0.5","0.25","0.2","0.5","0.375","0.4","2.1","0.188","0","0","0"
"109","Jeremy Lin","SCW","1.7","2.4","0.682","1.4","2.8","0.52","0.9","1.9","0.471","0.1","0.4","0.25","0.3","0.4","0.75","1.8","4.3","0.41","0","0","0"
"110","Jessie Govan","GLI","2.6","3","0.875","0.4","0.9","0.429","0.1","0.4","0.333","0","0","0","0","0","0","0.4","0.9","0.429","0","0","0"
"111","Jon Teske","LAK","1.3","1.9","0.655","0.7","1.8","0.37","0.3","0.9","0.308","0.1","0.1","1","0","0","0","0.5","2.1","0.226","0","0","0"
"112","Jonathan Kasibabu","AUS","1.3","2.5","0.533","0.2","0.3","0.5","0.2","0.3","0.5","0.2","0.2","1","0.2","0.2","1","0.3","0.8","0.4","0","0","0"
"113","Jonathan Kuminga","GLI","3.2","5.2","0.612","0.5","2.3","0.2","0.7","1.8","0.375","0.1","0.4","0.2","0","0","0","1.2","4.5","0.254","0","0.1","0"
"114","Jontay Porter","MHU","1.2","1.8","0.688","0.6","1.6","0.357","0.3","0.9","0.375","0.1","0.2","0.5","0","0.3","0","0.7","3.7","0.182","0","0.1","0"
"115","Jordan Bell","ERI","6.1","7","0.878","1.1","1.6","0.727","0.1","0.1","1","0","0","0","0","0","0","0.3","0.9","0.333","0","0","0"
"116","Jordan Bone","DEL","1.1","1.9","0.571","0.5","2","0.267","0.8","1.9","0.429","0.1","0.5","0.143","0.1","0.1","1","1.6","4.6","0.348","0","0","0"
"117","Jordan Bowden","LIN","0.9","1.7","0.542","0.1","0.3","0.5","0.4","0.6","0.625","0.4","1.1","0.333","0.4","0.7","0.625","0.8","2.5","0.314","0","0","0"
"118","Jordan Ford","ACC","1.3","1.7","0.8","1","3.3","0.3","1.1","2","0.567","0.1","0.2","0.333","0.1","0.3","0.5","1.7","4","0.433","0","0","0"
"119","Jordan Murphy","IWA","1.2","3","0.405","0.3","0.7","0.4","0","0","0","0","0.2","0","0.1","0.1","1","0","0.2","0","0","0","0"
"120","Jordan Nwora","SLC","3","3","1","1","3","0.333","2","3","0.667","1","1","1","0","0","0","2","4","0.5",NA,NA,NA
"121","Jordan Poole","SCW","3.5","5.6","0.613","1.1","2.3","0.48","0.3","0.7","0.375","0.4","0.6","0.571","0.2","0.5","0.4","1.8","6.2","0.294","0","0","0"
"122","Josh Gray","FWN","2.9","6.1","0.471","1.2","3.8","0.321","0.2","0.9","0.25","0","0","0","0","0.3","0","0.9","2.6","0.351","0","0","0"
"123","Josh Green","SLC","3.3","4.7","0.714","1","3","0.333","1","2.3","0.429","0","0.2","0","0.3","0.5","0.667","0.2","2","0.083","0","0.2","0"
"124","Josh Hall","OKL","1","1","1","0","2","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0"
"125","Josh Huestis","RGV","1","1.7","0.6","0.3","0.3","1","0","0","0","0.3","0.7","0.5","0","0","0","1","5.7","0.176","0","0","0"
"126","Josh Reaves","RGV","1.9","2.9","0.651","0.6","1.3","0.45","0","0","0","0.5","0.6","0.778","0.1","0.4","0.167","1.4","4","0.35","0","0","0"
"127","Julian Washburn","DEL","0.8","1.1","0.688","0.3","0.5","0.571","0.2","0.7","0.3","0.4","1.1","0.4","0.5","1.2","0.412","0.8","2.5","0.314","0","0","0"
"128","Justin Jackson","LAK","0.5","1.2","0.462","0.1","0.4","0.25","0","0.1","0","0","0.3","0","0","0.5","0","0.5","1.5","0.294","0","0","0"
"129","Justin Patton","RGV","2.8","4","0.688","0.5","1.5","0.333","0.3","1.3","0.2","0","0","0","0","0","0","0.3","0.8","0.333","0","0","0"
"130","Justin Robinson","DEL","1.9","3.8","0.5","0.5","2","0.269","0.5","1.8","0.25","0.2","0.3","0.5","0.2","0.5","0.5","1.9","4.9","0.391","0","0.1","0"
"131","Justin Wright-Foreman","ERI","1.4","2.1","0.677","0.9","1.6","0.542","0.3","0.8","0.417","0.5","0.5","1","0.5","0.9","0.615","1.2","3.7","0.321","0","0","0"
"132","KJ Martin","RGV","6.4","9.2","0.696","0.1","1.5","0.067","0","0.3","0","0","0.2","0","0","0.3","0","0.5","3.1","0.161","0","0","0"
"133","KJ McDaniels","GBO","1.4","2","0.7","0.5","1.1","0.455","0.1","0.2","0.5","0","0.1","0","0","0","0","0.5","1.8","0.278","0","0","0"
"134","Kahlil Whitney","GBO","0.7","1.1","0.6","0.3","0.7","0.5","0","0.4","0","0.1","0.3","0.5","0","0.1","0","0.1","0.6","0.2","0","0","0"
"135","Kaiser Gates","LIN","0.7","0.9","0.727","0.1","0.2","0.5","0.1","0.2","0.5","0.5","0.6","0.857","0.1","1.1","0.083","1.6","4.5","0.352","0","0","0"
"136","Kaleb Johnson","AUS","1.8","2.2","0.821","0.2","0.5","0.429","0","0","0","0","0.1","0","0","0","0","0","0","0","0","0","0"
"137","Kaleb Wesson","SCW","2.5","3","0.818","0.3","0.4","0.75","0","0.2","0","0","0.1","0","0.2","0.5","0.333","1.1","3.4","0.324","0","0","0"
"138","Karim Mane","LAK","1.5","2.5","0.605","0.4","1.1","0.353","0.2","0.7","0.3","0","0.2","0","0.1","0.6","0.125","0.2","2","0.1","0","0","0"
"139","Keandre Cook","GBO","0.4","0.6","0.6","0","0.4","0","0","0.3","0","0.2","0.3","0.5","0","0","0","0","0.3","0","0","0","0"
"140","Kenny Williams","AUS","0.9","1.5","0.565","0.4","1","0.4","1.7","3.3","0.5","0.2","0.8","0.273","0.1","0.3","0.5","1","3.1","0.326","0","0","0"
