"","PLAYER_NAME","TEAM_ABBREVIATION","Restricted_Area_FGM","Restricted_Area_FGA","Restricted_Area_FG_PCT","In_The_Paint_Non_RA_FGM","In_The_Paint_Non_RA_FGA","In_The_Paint_Non_RA_FG_PCT","Mid_Range_FGM","Mid_Range_FGA","Mid_Range_FG_PCT","Left_Corner_3_FGM","Left_Corner_3_FGA","Left_Corner_3_FG_PCT","Right_Corner_3_FGM","Right_Corner_3_FGA","Right_Corner_3_FG_PCT","Above_the_Break_3_FGM","Above_the_Break_3_FGA","Above_the_Break_3_FG_PCT","Backcourt_3_FGM","Backcourt_3_FGA","Backcourt_3_FG_PCT"
"216","Sheldon Mac","CTN","3.8","5.5","0.695","0.9","1.9","0.464","0.5","1.5","0.318","0.3","0.3","1","0.1","0.5","0.286","0.5","2.5","0.216","0","0.1","0"
"217","Simi Shittu","WES","5.2","8.8","0.596","0.7","1.7","0.409","0","0","0","0","0","0","0","0","0","0.2","0.6","0.375","0","0","0"
"218","Sir'Dominic Pointer","CTN","2.5","3.2","0.778","0.5","1.1","0.438","0.1","0.2","0.333","0.3","0.7","0.4","0.3","0.6","0.5","0.4","1.6","0.217","0","0","0"
"219","Skal Labissiere","WES","1.2","2.1","0.579","0.4","1.4","0.308","0.2","0.3","0.667","0","0","0","0","0.1","0","0.1","0.4","0.25","0","0","0"
"220","Tahjere McCall","LAK","2.5","4","0.633","0.8","2","0.4","0.1","0.3","0.5","0.1","0.5","0.286","0.1","0.4","0.333","0.5","1.5","0.318","0","0.1","0"
"221","Tariq Owens","LIN","3.2","4.1","0.784","0","0.2","0","0","0.4","0","0","0","0","0.1","0.1","1","0","0","0","0","0","0"
"222","Tony Carr","ERI","2","3.1","0.647","1.1","2.1","0.522","0","0.5","0","0","0.1","0","0","0","0","0.3","1.9","0.143","0","0","0"
"223","Tra-Deon Hollins","WES","0.8","1.3","0.625","0","0.2","0","0","0","0","0.3","0.3","1","0.2","0.4","0.5","0","0.8","0","0","0","0"
"224","Tre Jones","AUS","4.4","7.1","0.62","1.1","3.6","0.32","0.1","0.7","0.2","0","0.1","0","0","0.3","0","0.1","1.3","0.111","0","0","0"
"225","Tres Tinkle","RAP","1.9","3","0.619","0.5","0.8","0.636","0","0.1","0","0.1","0.8","0.111","0.1","0.3","0.333","0.6","1.6","0.409","0","0","0"
"226","Trevelin Queen","RGV","1.9","3","0.644","0.6","0.8","0.75","0.1","0.2","0.667","0.4","1","0.429","0.1","0.4","0.333","0.8","3.4","0.235","0","0","0"
"227","Trevon Bluiett","SLC","0.3","0.9","0.308","0.1","1","0.133","0.4","1.3","0.316","0.1","0.3","0.5","0.1","0.5","0.143","1.5","5.3","0.291","0","0","0"
"228","Trevon Scott","SLC","2","2.9","0.682","0.4","1.1","0.353","0.4","1.1","0.375","0.1","0.1","1","0.2","0.3","0.75","0.7","3.2","0.229","0","0","0"
"229","Trhae Mitchell","RGV","0.3","0.5","0.6","0.1","0.4","0.25","0","0.1","0","0.1","0.3","0.5","0","0","0","0.1","0.5","0.167","0","0","0"
"230","Ty Jerome","OKL","0.7","0.9","0.75","1.8","3.6","0.5","0.2","1.1","0.2","0.1","0.1","1","0.3","0.8","0.333","1.1","4.1","0.27","0","0","0"
"231","Ty-Shon Alexander","CTN","0.2","0.5","0.375","0.2","0.4","0.5","0.5","1","0.467","0.1","0.5","0.25","0.3","0.6","0.444","1.7","4.2","0.397","0","0","0"
"232","Tyler Bey","SLC","2.8","4.2","0.673","1.2","2.5","0.485","0.5","1.4","0.333","0.1","0.1","1","0.1","0.3","0.333","0.8","2.8","0.306","0","0","0"
"233","Tyler Cook","IWA","7.9","12.5","0.63","0.5","1.4","0.364","0","0","0","0","0.1","0","0","0","0","0","0","0","0","0","0"
"234","Tyler Hall","WES","0.4","0.5","0.714","0.1","0.5","0.286","0","0.1","0","0.6","1.4","0.4","0.5","1.1","0.467","1.7","4.1","0.414","0","0.1","0"
"235","Tyrell Terry","MHU","2.2","4.3","0.518","0.8","1.5","0.579","0.3","1.3","0.235","0.2","0.4","0.4","0.3","0.3","0.75","1.2","3.8","0.3","0","0","0"
"236","Tyrone Wallace","ACC","3.5","5.5","0.633","1.1","3","0.364","0.1","0.4","0.25","0.1","0.2","0.5","0","0.5","0","1","3.1","0.324","0","0","0"
"237","Udoka Azubuike","SLC","2","3","0.667","1","2","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"238","Vernon Carey Jr.","GBO","4.9","7.4","0.66","0.9","2.7","0.316","0.6","1.5","0.429","0","0.2","0","0","0","0","0.4","1.9","0.192","0","0","0"
"239","Vincent Edwards","OKL","0.7","1.3","0.571","0.4","0.7","0.5","0","0.2","0","0.2","0.4","0.5","0.1","0.8","0.143","1.3","3.6","0.35","0","0.1","0"
"240","Will Magnay","ERI","2.4","3.6","0.667","0.7","1.3","0.538","0","0","0","0","0.1","0","0","0","0","0.3","0.9","0.333","0","0","0"
"241","William McDowell-White","RGV","0.3","0.6","0.5","0","0.1","0","0","0","0","0.2","0.3","0.5","0.2","0.4","0.4","0.4","1.4","0.278","0","0.2","0"
"242","Xavier Sneed","GBO","0.8","1.2","0.733","0.1","0.5","0.167","0.2","0.3","0.5","0.1","0.9","0.1","0.3","1","0.333","0.9","3","0.308","0","0","0"
"243","Yoeli Childs","ERI","2.6","4.1","0.633","0.7","1.2","0.571","0.1","0.1","1","0","0.3","0","0.1","0.2","0.5","0.3","1","0.25","0","0.1","0"
"244","Yogi Ferrell","SLC","1.2","2.2","0.548","1.1","2.6","0.417","1.1","1.9","0.556","0.1","0.4","0.333","0.2","0.4","0.6","1.9","4.9","0.377","0","0","0"
"245","Zavier Simpson","OKL","2.1","3.7","0.571","1","2.2","0.455","0.2","0.6","0.333","0","0.1","0","0.1","0.3","0.25","0.7","2.2","0.303","0","0","0"
"246","Zylan Cheatham","IWA","3.5","5.5","0.646","0.3","1.2","0.278","0","0.2","0","0","0.3","0","0","0.1","0","0.3","1.1","0.294","0","0","0"
